OP {'Iter': [8], 'EtotRyd': [-834.51210988], 'VolBohr3': [163.54523], 'EfermiRyd': [0.5139754563], 'Warning_last': ':WARN : QTL-B value eq.   2.66 in Band of energy  -0.38459  ATOM=    2  L=  1'}
HeO3 {'Iter': [8], 'EtotRyd': [-456.01866477], 'VolBohr3': [269.59978], 'EfermiRyd': [-0.1060212814]}
CO2 {'Iter': [7], 'EtotRyd': [-376.43533817], 'VolBohr3': [153.09405], 'EfermiRyd': [0.3535380418]}
Co2O {'Iter': [9], 'EtotRyd': [-5724.17418892], 'VolBohr3': [200.83268], 'EfermiRyd': [0.6692081936]}
O10V4 {'Iter': [19], 'EtotRyd': [-9098.7695753], 'VolBohr3': [809.68109], 'EfermiRyd': [0.5631945039]}
KrO {'Iter': [8], 'EtotRyd': [-5731.03426], 'VolBohr3': [268.84114], 'EfermiRyd': [0.0216366033], 'Warning_last': ':WARN : QTL-B value eq.   2.12 in Band of energy   0.07358  ATOM=    2  L=  1'}
Fe4O10 {'Iter': [20], 'EtotRyd': [-11685.47021806], 'VolBohr3': [782.03361], 'EfermiRyd': [0.4880627866]}
Cl4O10 {'Iter': [11], 'EtotRyd': [-5193.6734633], 'VolBohr3': [1006.65039], 'EfermiRyd': [0.1870813841]}
NaO2 {'Iter': [7], 'EtotRyd': [-625.50247127], 'VolBohr3': [246.16753], 'EfermiRyd': [-0.124963074]}
Cu4O10 {'Iter': [12], 'EtotRyd': [-14743.00185261], 'VolBohr3': [865.06688], 'EfermiRyd': [0.3048453138]}
FeO {'Iter': [9], 'EtotRyd': [-2696.02221188], 'VolBohr3': [115.97423], 'EfermiRyd': [0.7727405289]}
Ge2O {'Iter': [9], 'EtotRyd': [-8546.68901899], 'VolBohr3': [334.06306], 'EfermiRyd': [0.4048445439]}
ArO3 {'Iter': [12], 'EtotRyd': [-1508.69963599], 'VolBohr3': [451.41853], 'EfermiRyd': [-0.1374048629]}
Be4O10 {'Iter': [10], 'EtotRyd': [-1621.20858395], 'VolBohr3': [770.05206], 'EfermiRyd': [0.2825324412]}
KO2 {'Iter': [7], 'EtotRyd': [-1504.82635197], 'VolBohr3': [391.30484], 'EfermiRyd': [-0.1894171635]}
BO3 {'Iter': [7], 'EtotRyd': [-500.7899841], 'VolBohr3': [226.37572], 'EfermiRyd': [0.1908148994]}
O6S4 {'Iter': [8], 'EtotRyd': [-4095.41236419], 'VolBohr3': [789.53722], 'EfermiRyd': [0.3952885694]}
O2Se {'Iter': [8], 'EtotRyd': [-5161.21817254], 'VolBohr3': [222.92005], 'EfermiRyd': [0.4543466133]}
ClO2 {'Iter': [7], 'EtotRyd': [-1223.37634928], 'VolBohr3': [233.39293], 'EfermiRyd': [0.2425336097]}
CuO3 {'Iter': [16], 'EtotRyd': [-3760.92956522], 'VolBohr3': [352.40866], 'EfermiRyd': [-0.0119263879]}
Ne4O6 {'Iter': [8], 'EtotRyd': [-1932.40554018], 'VolBohr3': [1385.88783], 'EfermiRyd': [-0.4788745029]}
HO {'Iter': [9], 'EtotRyd': [-151.37758367], 'VolBohr3': [67.373], 'EfermiRyd': [0.1586073535], 'Warning_last': ':WARN : QTL-B value eq.   2.15 in Band of energy  -0.46465  ATOM=    2  L=  1'}
CrO {'Iter': [9], 'EtotRyd': [-2252.2544279], 'VolBohr3': [119.26963], 'EfermiRyd': [0.9123415582]}
ClO {'Iter': [7], 'EtotRyd': [-1073.17957939], 'VolBohr3': [180.94905], 'EfermiRyd': [0.2029021053]}
O6Sc4 {'Iter': [11], 'EtotRyd': [-7018.25186376], 'VolBohr3': [843.96998], 'EfermiRyd': [0.4292101322]}
MgO2 {'Iter': [8], 'EtotRyd': [-701.64044433], 'VolBohr3': [204.77986], 'EfermiRyd': [0.1448842117]}
AlO2 {'Iter': [7], 'EtotRyd': [-786.7797698], 'VolBohr3': [177.09523], 'EfermiRyd': [0.3967065715]}
OTi {'Iter': [9], 'EtotRyd': [-1858.34356076], 'VolBohr3': [132.72016], 'EfermiRyd': [0.9227211011]}
ArO2 {'Iter': [8], 'EtotRyd': [-1358.57378328], 'VolBohr3': [336.20403], 'EfermiRyd': [-0.1560943003]}
MnO {'Iter': [9], 'EtotRyd': [-2467.7497735], 'VolBohr3': [116.83687], 'EfermiRyd': [0.8415607617]}
O6Ti4 {'Iter': [10], 'EtotRyd': [-7734.6550324], 'VolBohr3': [734.00164], 'EfermiRyd': [0.6617037964]}
Cr4O6 {'Iter': [12], 'EtotRyd': [-9310.17463886], 'VolBohr3': [652.04005], 'EfermiRyd': [0.638601246]}
Kr4O10 {'Iter': [14], 'EtotRyd': [-23824.97409676], 'VolBohr3': [1294.22399], 'EfermiRyd': [0.0665489486]}
He4O10 {'Iter': [8], 'EtotRyd': [-1524.22688966], 'VolBohr3': [491.59425], 'EfermiRyd': [0.4508382856]}
Be2O {'Iter': [7], 'EtotRyd': [-209.45057783], 'VolBohr3': [180.84266], 'EfermiRyd': [0.5224882441], 'Warning_last': ':WARN : QTL-B value eq.   3.40 in Band of energy  -0.24323  ATOM=    2  L=  1'}
F4O10 {'Iter': [11], 'EtotRyd': [-2300.18430114], 'VolBohr3': [812.17773], 'EfermiRyd': [-0.0124507344]}
NiO {'Iter': [8], 'EtotRyd': [-3192.10530299], 'VolBohr3': [121.40563], 'EfermiRyd': [0.5907286226]}
NeO2 {'Iter': [7], 'EtotRyd': [-558.1744396], 'VolBohr3': [256.55461], 'EfermiRyd': [-0.2934089865]}
Ge4O10 {'Iter': [11], 'EtotRyd': [-18295.99090464], 'VolBohr3': [938.79084], 'EfermiRyd': [0.3806873763]}
CaO {'Iter': [8], 'EtotRyd': [-1511.60360339], 'VolBohr3': [191.07269], 'EfermiRyd': [0.3315423876]}
FO {'Iter': [10], 'EtotRyd': [-349.75794443], 'VolBohr3': [125.61468], 'EfermiRyd': [-0.0678251527]}
Fe2O {'Iter': [8], 'EtotRyd': [-5241.46634962], 'VolBohr3': [198.50473], 'EfermiRyd': [0.7363029532]}
Ar4O10 {'Iter': [12], 'EtotRyd': [-5734.91866267], 'VolBohr3': [1233.92522], 'EfermiRyd': [-0.0540033571]}
