CmO2 {'Iter': [11], 'EtotRyd': [-63034.10409187], 'VolBohr3': [246.28387], 'EfermiRyd': [0.8073456138]}
ORh2 {'Iter': [8], 'EtotRyd': [-19291.30668178], 'VolBohr3': [262.20115], 'EfermiRyd': [0.7037379921]}
OTm2 {'Iter': [13], 'EtotRyd': [-54479.22949661], 'VolBohr3': [363.64949], 'EfermiRyd': [0.7164601164]}
Dy4O6 {'Iter': [25], 'EtotRyd': [-98250.39627916], 'VolBohr3': [1031.60095], 'EfermiRyd': [0.5090133424]}
O2Ra {'Iter': [8], 'EtotRyd': [-50401.28161671], 'VolBohr3': [429.18152], 'EfermiRyd': [0.2143490486]}
BiO {'Iter': [9], 'EtotRyd': [-43313.57785847], 'VolBohr3': [242.63694], 'EfermiRyd': [0.6001649596]}
NpO3 {'Iter': [14], 'EtotRyd': [-58210.96471378], 'VolBohr3': [473.16219], 'EfermiRyd': [0.3631559568]}
O10U4 {'Iter': [24], 'EtotRyd': [-226170.05320054], 'VolBohr3': [1024.89467], 'EfermiRyd': [0.9723089475]}
HoO3 {'Iter': [29], 'EtotRyd': [-25708.40338926], 'VolBohr3': [585.03597], 'EfermiRyd': [-0.0776124069]}
CeO3 {'Iter': [11], 'EtotRyd': [-18182.36085893], 'VolBohr3': [547.50625], 'EfermiRyd': [0.0391132978]}
Au2O {'Iter': [8], 'EtotRyd': [-76341.9282281], 'VolBohr3': [332.77895], 'EfermiRyd': [0.471235772]}
O10Xe4 {'Iter': [10], 'EtotRyd': [-61103.67351684], 'VolBohr3': [1290.14422], 'EfermiRyd': [0.3309949166]}
Ce4O6 {'Iter': [13], 'EtotRyd': [-71827.55685483], 'VolBohr3': [1101.41226], 'EfermiRyd': [0.7040499961]}
HgO2 {'Iter': [8], 'EtotRyd': [-39624.29419525], 'VolBohr3': [268.11024], 'EfermiRyd': [0.2981923979]}
ORu2 {'Iter': [10], 'EtotRyd': [-18277.61286499], 'VolBohr3': [255.50829], 'EfermiRyd': [0.832428161]}
O2Pu {'Iter': [10], 'EtotRyd': [-59685.43365475], 'VolBohr3': [250.52146], 'EfermiRyd': [0.9061155985]}
Au4O10 {'Iter': [12], 'EtotRyd': [-153885.89353355], 'VolBohr3': [1010.60779], 'EfermiRyd': [0.4503348819]}
Ag2O {'Iter': [8], 'EtotRyd': [-21419.55873012], 'VolBohr3': [325.89938], 'EfermiRyd': [0.3271985543]}
O6Pt4 {'Iter': [9], 'EtotRyd': [-148476.11696007], 'VolBohr3': [817.46568], 'EfermiRyd': [0.6667510586]}
IrO {'Iter': [9], 'EtotRyd': [-35866.49115848], 'VolBohr3': [158.1079], 'EfermiRyd': [0.8222445406]}
ErO2 {'Iter': [20], 'EtotRyd': [-26500.73841063], 'VolBohr3': [262.08272], 'EfermiRyd': [0.4082365676]}
AmO2 {'Iter': [12], 'EtotRyd': [-61343.0887729], 'VolBohr3': [247.44577], 'EfermiRyd': [0.8605195444]}
Cd4O6 {'Iter': [9], 'EtotRyd': [-45670.69802523], 'VolBohr3': [998.85714], 'EfermiRyd': [0.2198224463]}
O2W {'Iter': [9], 'EtotRyd': [-32633.31823164], 'VolBohr3': [204.07634], 'EfermiRyd': [0.9286811179]}
O10Re4 {'Iter': [12], 'EtotRyd': [-135247.71116528], 'VolBohr3': [841.86347], 'EfermiRyd': [0.8833863605]}
